Question,Answer Key
Reading Part 1: Reading Correspondence - Q1,in Victoria.
Reading Part 1: Reading Correspondence - Q2,start a new job.
Reading Part 1: Reading Correspondence - Q3,nervous about speaking Japanese.
Reading Part 1: Reading Correspondence - Q4,specialists in town reconstruction.
Reading Part 1: Reading Correspondence - Q5,Marco’s lack of life experience.
Reading Part 1: Reading Correspondence - Q6,are old friends.
Reading Part 1: Reading Correspondence - Q7,the leaving party.
Reading Part 1: Reading Correspondence - Q8,Calgary
Reading Part 1: Reading Correspondence - Q9,"party,"
Reading Part 1: Reading Correspondence - Q10,he can’t use that now.
Reading Part 1: Reading Correspondence - Q11,move to Tokyo?
Reading Part 2: Reading to Apply a Diagram - Q1,least comfortable
Reading Part 2: Reading to Apply a Diagram - Q2,costs more
Reading Part 2: Reading to Apply a Diagram - Q3,station
Reading Part 2: Reading to Apply a Diagram - Q4,driving.
Reading Part 2: Reading to Apply a Diagram - Q5,go sightseeing.
Reading Part 2: Reading to Apply a Diagram - Q6,work together.
Reading Part 2: Reading to Apply a Diagram - Q7,to speak at a conference.
Reading Part 2: Reading to Apply a Diagram - Q8,cooperative.
Reading Part 3: Reading for Information - Q1,B
Reading Part 3: Reading for Information - Q2,A
Reading Part 3: Reading for Information - Q3,C
Reading Part 3: Reading for Information - Q4,D
Reading Part 3: Reading for Information - Q5,C
Reading Part 3: Reading for Information - Q6,E
Reading Part 3: Reading for Information - Q7,D
Reading Part 3: Reading for Information - Q8,A
Reading Part 3: Reading for Information - Q9,A
Reading Part 4: Reading for Viewpoints - Q1,a conventional high school teacher with an unconventional idea.
Reading Part 4: Reading for Viewpoints - Q2,was inspired by his own successful experience as a student.
Reading Part 4: Reading for Viewpoints - Q3,initially well received by the school principal.
Reading Part 4: Reading for Viewpoints - Q4,diminishes hyperactivity and increases attention.
Reading Part 4: Reading for Viewpoints - Q5,produced the results Mr. Gordon expected.
Reading Part 4: Reading for Viewpoints - Q6,bring exercise into the classroom.
Reading Part 4: Reading for Viewpoints - Q7,"will improve students’ concentration,"
Reading Part 4: Reading for Viewpoints - Q8,are most likely to fade
Reading Part 4: Reading for Viewpoints - Q9,overwork the students
Reading Part 4: Reading for Viewpoints - Q10,are bouncing around on yoga balls.